         60341816 function calls (60338469 primitive calls) in 693.266 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 axis.py:1935(get_minpos)
        4    0.000    0.000    0.001    0.000 axis.py:2038(_get_pixel_distance_along_axis)
        2    0.000    0.000    0.001    0.000 axis.py:2089(_update_label_position)
        2    0.000    0.000    0.000    0.000 axis.py:2127(_update_offset_text_position)
        6    0.000    0.000    0.000    0.000 axis.py:2240(get_view_interval)
        1    0.000    0.000    0.000    0.000 axis.py:2266(get_minpos)
       36    0.000    0.000    0.000    0.000 axis.py:231(get_loc)
       36    0.000    0.000    0.104    0.003 axis.py:235(draw)
       36    0.000    0.000    0.000    0.000 axis.py:259(set_label1)
       36    0.000    0.000    0.000    0.000 axis.py:270(set_label2)
       20    0.000    0.000    0.000    0.000 axis.py:435(update_position)
       20    0.000    0.000    0.000    0.000 axis.py:463(get_view_interval)
       16    0.000    0.000    0.000    0.000 axis.py:572(update_position)
       16    0.000    0.000    0.000    0.000 axis.py:599(get_view_interval)
       76    0.000    0.000    0.000    0.000 axis.py:687(get_scale)
        2    0.000    0.000    0.000    0.000 axis.py:699(limit_range_for_scale)
       40    0.000    0.000    0.001    0.000 axis.py:888(iter_ticks)
        4    0.000    0.000    0.000    0.000 axis.py:895(<listcomp>)
        4    0.000    0.000    0.000    0.000 axis.py:901(<listcomp>)
        4    0.000    0.000    0.004    0.001 axis.py:941(_update_ticks)
        4    0.000    0.000    0.001    0.000 axis.py:949(<listcomp>)
       72    0.000    0.000    0.003    0.000 backend_agg.py:122(draw_markers)
        2    0.000    0.000    0.000    0.000 backend_agg.py:128(_update_methods)
       16    0.000    0.000    0.104    0.006 backend_agg.py:143(draw_path)
       40    0.001    0.000    0.088    0.002 backend_agg.py:183(draw_text)
       80    0.000    0.000    0.007    0.000 backend_agg.py:214(get_text_width_height_descent)
       40    0.000    0.000    0.000    0.000 backend_agg.py:264(get_canvas_width_height)
      120    0.000    0.000    0.003    0.000 backend_agg.py:268(_get_agg_font)
      144    0.000    0.000    0.000    0.000 backend_agg.py:294(points_to_pixels)
        2    0.000    0.000    0.000    0.000 backend_agg.py:321(option_image_nocomposite)
        2    0.000    0.000    0.381    0.190 backend_agg.py:463(draw)
        3    0.000    0.000    0.101    0.034 backend_agg.py:478(get_renderer)
        1    0.000    0.000    3.493    3.493 backend_agg.py:526(print_png)
      120    0.000    0.000    0.000    0.000 backend_agg.py:53(get_hinting_flag)
        2    0.100    0.050    0.101    0.050 backend_agg.py:85(__init__)
      256    0.000    0.000    0.001    0.000 backend_bases.py:1004(set_foreground)
       88    0.000    0.000    0.000    0.000 backend_bases.py:1032(set_joinstyle)
       88    0.000    0.000    0.000    0.000 backend_bases.py:1041(set_linewidth)
       16    0.000    0.000    0.000    0.000 backend_bases.py:1047(set_linestyle)
       52    0.000    0.000    0.000    0.000 backend_bases.py:1069(set_url)
       88    0.000    0.000    0.000    0.000 backend_bases.py:1081(set_snap)
      128    0.000    0.000    0.000    0.000 backend_bases.py:1106(get_hatch_path)
      128    0.000    0.000    0.000    0.000 backend_bases.py:1114(get_sketch_params)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1332(__init__)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1357(__init__)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1703(is_saving)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1801(draw_event)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2059(_get_output_canvas)
        1    0.000    0.000    3.495    3.495 backend_bases.py:2081(print_figure)
        2    0.000    0.000    0.000    0.000 backend_bases.py:218(__init__)
      172    0.000    0.000    0.000    0.000 backend_bases.py:223(open_group)
      172    0.000    0.000    0.000    0.000 backend_bases.py:231(close_group)
       40    0.000    0.000    0.000    0.000 backend_bases.py:691(flipy)
      128    0.000    0.000    0.000    0.000 backend_bases.py:712(new_gc)
      128    0.000    0.000    0.000    0.000 backend_bases.py:782(__init__)
      128    0.000    0.000    0.000    0.000 backend_bases.py:819(restore)
      128    0.000    0.000    0.000    0.000 backend_bases.py:850(get_clip_path)
      128    0.000    0.000    0.000    0.000 backend_bases.py:919(get_snap)
      128    0.000    0.000    0.000    0.000 backend_bases.py:932(set_alpha)
       16    0.000    0.000    0.000    0.000 backend_bases.py:948(set_antialiased)
       88    0.000    0.000    0.000    0.000 backend_bases.py:959(set_capstyle)
        4    0.000    0.000    0.000    0.000 backend_bases.py:968(set_clip_rectangle)
      128    0.000    0.000    0.000    0.000 backend_bases.py:974(set_clip_path)
       16    0.000    0.000    0.000    0.000 backend_bases.py:986(set_dashes)
        1    0.000    0.000    0.063    0.063 backend_qt5agg.py:152(draw)
        1    0.000    0.000    0.000    0.000 backend_qt5agg.py:161(draw_idle)
        1    0.000    0.000    3.558    3.558 backend_qt5agg.py:195(print_figure)
      464    0.000    0.000    0.035    0.000 base.py:202(asformat)
      211    0.003    0.000    0.025    0.000 base.py:222(decision_function)
      211    0.003    0.000    0.029    0.000 base.py:255(predict)
      631    0.003    0.000    0.171    0.000 base.py:292(__mul__)
      721    0.001    0.000    0.001    0.000 base.py:511(__getattr__)
     1647    0.004    0.000    0.004    0.000 base.py:69(__init__)
      211    0.001    0.000    0.002    0.000 base.py:710(_get_liblinear_solver_type)
     1691    0.004    0.000    0.004    0.000 base.py:77(set_shape)
      211    0.009    0.000    2.762    0.013 base.py:772(_fit_liblinear)
     3707    0.002    0.000    0.002    0.000 base.py:887(isspmatrix)
    10971    0.002    0.000    0.002    0.000 base.py:99(get_shape)
        1    0.000    0.000    0.000    0.000 bz2.py:111(close)
        4    0.000    0.000    0.000    0.000 bz2.py:136(closed)
        1    0.000    0.000    0.000    0.000 bz2.py:150(readable)
        1    0.000    0.000    0.000    0.000 bz2.py:173(read)
        2    0.000    0.000    0.000    0.000 bz2.py:279(tell)
        1    0.000    0.000    0.000    0.000 bz2.py:42(__init__)
        6    0.000    0.000    0.000    0.000 cbook.py:1300(__init__)
       40    0.000    0.000    0.000    0.000 cbook.py:1305(__setitem__)
        4    0.000    0.000    0.000    0.000 cbook.py:1681(clean)
        4    0.000    0.000    0.000    0.000 cbook.py:1686(<listcomp>)
        4    0.000    0.000    0.000    0.000 cbook.py:1757(get_siblings)
        4    0.000    0.000    0.000    0.000 cbook.py:1764(<listcomp>)
       80    0.000    0.000    0.000    0.000 cbook.py:2185(is_math_text)
        4    0.000    0.000    0.000    0.000 cbook.py:2201(_check_1d)
        1    0.000    0.000    0.000    0.000 cbook.py:2547(get_label)
        4    0.000    0.000    0.000    0.000 cbook.py:363(__init__)
        2    0.000    0.000    0.000    0.000 cbook.py:385(add_destroy_callback)
        4    0.000    0.000    0.000    0.000 cbook.py:451(__hash__)
        2    0.000    0.000    0.000    0.000 cbook.py:507(connect)
        6    0.000    0.000    0.000    0.000 cbook.py:555(process)
       16    0.000    0.000    0.000    0.000 cbook.py:687(iterable)
      700    0.000    0.000    0.000    0.000 cbook.py:696(is_string_like)
        1    0.000    0.000    0.000    0.000 cbook.py:754(is_numlike)
      211    0.002    0.000    0.004    0.000 class_weight.py:13(compute_class_weight)
        8    0.000    0.000    0.000    0.000 client.py:1061(putheader)
        2    0.000    0.000    0.540    0.270 client.py:1089(endheaders)
        2    0.000    0.000    0.540    0.270 client.py:1104(request)
        2    0.000    0.000    0.000    0.000 client.py:1108(_set_content_length)
        2    0.000    0.000    0.540    0.270 client.py:1132(_send_request)
        2    0.000    0.000    0.000    0.000 client.py:1134(<listcomp>)
        2    0.000    0.000    0.621    0.311 client.py:1153(getresponse)
        2    0.000    0.000    0.008    0.004 client.py:1228(__init__)
        2    0.000    0.000    0.540    0.270 client.py:1249(connect)
        2    0.000    0.000    0.001    0.000 client.py:194(parse_headers)
        2    0.000    0.000    0.000    0.000 client.py:227(__init__)
        2    0.000    0.000    0.620    0.310 client.py:257(_read_status)
        2    0.000    0.000    0.621    0.311 client.py:290(begin)
        2    0.000    0.000    0.000    0.000 client.py:370(_check_close)
        2    0.000    0.000    0.004    0.002 client.py:400(_close_conn)
        2    0.000    0.000    0.000    0.000 client.py:405(close)
        2    0.000    0.000    0.000    0.000 client.py:417(flush)
       64    0.001    0.000    0.903    0.014 client.py:437(read)
       62    0.000    0.000    0.902    0.015 client.py:469(readinto)
        1    0.000    0.000    0.000    0.000 client.py:591(_safe_read)
        3    0.000    0.000    0.000    0.000 client.py:730(info)
        2    0.000    0.000    0.000    0.000 client.py:749(__init__)
        2    0.000    0.000    0.000    0.000 client.py:792(_get_hostport)
        2    0.000    0.000    0.000    0.000 client.py:812(set_debuglevel)
        2    0.000    0.000    0.362    0.181 client.py:846(connect)
        2    0.000    0.000    0.000    0.000 client.py:855(close)
        2    0.000    0.000    0.540    0.270 client.py:869(send)
       10    0.000    0.000    0.000    0.000 client.py:917(_output)
        2    0.000    0.000    0.540    0.270 client.py:924(_send_output)
        2    0.000    0.000    0.000    0.000 client.py:938(putrequest)
      800    0.001    0.000    0.001    0.000 codecs.py:259(__init__)
      190    0.000    0.000    0.000    0.000 colors.py:265(to_rgb)
      192    0.000    0.000    0.001    0.000 colors.py:334(to_rgba)
       10    0.000    0.000    0.000    0.000 colors.py:353(<genexpr>)
       18    0.000    0.000    0.001    0.000 common.py:75(wake)
       44    0.000    0.000    0.000    0.000 compressed.py:1019(__set_sorted)
     1603    0.007    0.000    0.011    0.000 compressed.py:1044(prune)
      211    0.001    0.000    0.022    0.000 compressed.py:1064(_with_data)
      508    0.001    0.000    0.002    0.000 compressed.py:115(_set_self)
     1603    0.014    0.000    0.047    0.000 compressed.py:126(check_format)
1603/1515    0.013    0.000    0.560    0.000 compressed.py:24(__init__)
      211    0.001    0.000    0.012    0.000 compressed.py:447(_mul_vector)
      420    0.008    0.000    0.153    0.000 compressed.py:473(_mul_sparse_matrix)
     6412    0.003    0.000    0.003    0.000 compressed.py:90(getnnz)
       44    0.000    0.000    0.002    0.000 compressed.py:957(__get_has_canonical_format)
       44    0.000    0.000    0.000    0.000 compressed.py:979(__set_has_canonical_format)
       44    0.000    0.000    0.002    0.000 compressed.py:987(sum_duplicates)
       40    0.000    0.000    0.000    0.000 contextlib.py:131(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:154(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:156(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:158(__exit__)
       40    0.000    0.000    0.000    0.000 contextlib.py:37(__init__)
